Category,Cutomer,Description,Nutrient Data Bank Number,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Protein,Data.Sugar Total,Data.Water,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Vitamins.Vitamin B12
Yogurt,ewelch@company.com,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",11435000,9.54,5,33.4,0,0,0,8.64,9.54,78.76,1.465,2.5,100,0.018,0.04,10,0.64
Yogurt,greeves@company.com,"Yogurt, Greek, whole milk, flavors other than fruit",11435010,9.35,10,33.2,0,0,0,8.47,9.35,77.19,2.674,4.44,98,0.018,0.04,10,0.63
Yogurt,gfleming@company.com,"Yogurt, Greek, low fat milk, flavors other than fruit",11435020,9.54,5,33.4,0,0,0,8.64,9.54,78.76,1.465,2.5,100,0.018,0.04,10,0.64
Yogurt,eburke@company.com,"Yogurt, Greek, nonfat milk, flavors other than fruit",11435030,10.37,3,15.2,0.5,0,0,8.64,9.54,80.26,0.133,0.18,99,0.018,0.04,10,0.64
Yogurt,kpatel@company.com,"Yogurt, Greek, with oats",11435100,22.38,4,31.8,1.9,31,0,8.9,12.07,63.61,1.478,4.29,96,0.063,0.64,27,0.53
Yogurt,lsharma@company.com,"Yogurt, liquid",11436000,11.81,4,11.7,0.1,0,0,3.71,9.78,82.57,0.701,1.09,131,0.021,0.1,12,0.39
Chipotle dip,kmullur@company.com,"Chipotle dip, yogurt based",11440010,3.33,16,18.6,0,17,0,7.93,2.97,70.61,3.219,15.99,92,0.022,0.09,9,0.43
Dill dip,Karanmathur@company.com,"Dill dip, yogurt based",11440020,3.76,16,19.4,0.3,27,0,8.16,2.99,69.81,3.232,16.03,103,0.028,0.29,13,0.43
Onion dip,amaro@company.com,"Onion dip, yogurt based",11440030,4.07,14,17.7,0.2,3,0,6.82,3.38,74.42,2.713,12.88,93,0.019,0.08,10,0.42
Ranch dip,adunn@company.com,"Ranch dip, yogurt based",11440040,4.13,17,20.5,0.3,27,0,8.48,3.41,69,3.267,16.09,114,0.029,0.29,14,0.46
Spinach dip,rharris@company.com,"Spinach dip, yogurt based",11440050,3.6,14,19.1,0.3,1197,0,7.02,3.04,74.55,2.721,12.94,103,0.028,0.21,15,0.42
Tzatziki dip,gneal@company.com,Tzatziki dip,11440060,3.95,7,11,0.2,9,0,5.35,2.92,83.08,1.838,6.31,64,0.027,0.14,11,0.42
Vegetable dip,karnold@company.com,"Vegetable dip, yogurt based",11440070,3.76,16,19.4,0.3,27,0,8.16,2.99,69.81,3.232,16.03,103,0.028,0.29,13,0.43
Yogurt parfait,amaro@company.com,"Yogurt parfait, low fat, with fruit",11446000,15.86,3,11.9,1.1,12,0,3.36,11.68,78.97,0.525,1.01,105,0.054,0.49,17,0.88
Frozen yogurt,adunn@company.com,"Frozen yogurt, NFS",11459990,21.6,13,23.1,0,0,0,3,19.92,71.2,2.326,3.6,100,0.009,0.46,10,0.07
Frozen yogurt,rharris@company.com,"Frozen yogurt, vanilla",11460000,21.6,13,23.1,0,0,0,3,19.92,71.2,2.326,3.6,100,0.009,0.46,10,0.07
Frozen yogurt,gneal@company.com,"Frozen yogurt, chocolate",11460100,21.6,13,14.1,2.3,0,0,3,19.24,71.2,2.272,3.6,100,0.054,0.46,25,0.07
Frozen yogurt,karnold@company.com,"Frozen yogurt, soft serve, vanilla",11460500,24.2,2,20.2,0,0,0,4,24,65.3,3.42,5.6,143,0.04,0.3,14,0.29
Frozen yogurt,tsalazaar@company.com,"Frozen yogurt, soft serve, chocolate",11460510,24.87,2,20,0.7,1,0,4.31,23.56,64.05,3.513,5.76,143,0.115,0.57,24,0.28
Frozen yogurt sandwich,bjoseph@company.com,Frozen yogurt sandwich,11461200,34.38,10,20.9,0.8,3,0,3.9,24.3,54.52,2.805,6.25,83,0.123,1.35,21,0.08
Frozen yogurt bar,ewelch@company.com,"Frozen yogurt bar, vanilla",11461210,21.6,13,23.1,0,0,0,3,19.92,71.2,2.326,3.6,100,0.009,0.46,10,0.07
Frozen yogurt bar,greeves@company.com,"Frozen yogurt bar, chocolate",11461220,21.6,13,14.1,2.3,0,0,3,19.24,71.2,2.272,3.6,100,0.054,0.46,25,0.07
Frozen yogurt cone,gfleming@company.com,"Frozen yogurt cone, chocolate",11461250,23.9,12,13.9,2.3,1,0,3.2,18.71,68.56,2.23,3.73,97,0.06,0.59,25,0.07
Frozen yogurt cone,eburke@company.com,"Frozen yogurt cone, vanilla",11461260,23.9,12,22.6,0.1,1,0,3.2,19.36,68.56,2.282,3.73,97,0.017,0.59,11,0.07
Frozen yogurt cone,kpatel@company.com,"Frozen yogurt cone, vanilla, waffle cone",11461300,25.28,12,22.2,0.1,1,0,3.29,20.26,67.19,2.223,3.61,97,0.024,0.69,11,0.07
Frozen yogurt cone,lsharma@company.com,"Frozen yogurt cone, chocolate, waffle cone",11461320,25.28,12,13.8,2.3,1,0,3.29,19.62,67.19,2.172,3.61,97,0.067,0.69,25,0.07
Yogurt,kmullur@company.com,"Yogurt, whole milk, baby food",11480010,4.66,13,15.2,0,0,0,3.47,4.66,87.89,2.096,3.25,121,0.009,0.05,12,0.37
Yogurt,Karanmathur@company.com,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",11480020,13.22,14,14.2,0.3,6,0,3.4,11.46,79.16,1.84,3.53,107,0.023,0.15,15,0.32
Yogurt,amaro@company.com,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",11480030,13,10,13.4,0.6,13,0,3.05,11.46,80.21,1.582,3.08,98,0.031,4.18,15,0.29
Yogurt,adunn@company.com,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",11480040,13.22,14,14.2,0.3,6,0,3.4,11.46,79.16,1.84,3.53,107,0.023,0.15,15,0.32
Chocolate milk,rharris@company.com,"Chocolate milk, NFS",11511000,13.46,2,15.6,0,0,0,3.39,8.39,82.34,0,0,127,0.075,0.27,13,0.32
Chocolate milk,gneal@company.com,"Chocolate milk, ready to drink, whole",11511100,10.34,12,17,0.8,0,0,3.17,9.54,82.3,2.104,3.39,112,0.065,0.24,13,0.33
Chocolate milk,karnold@company.com,"Chocolate milk, ready to drink, reduced fat",11511200,12.13,8,17.1,0.7,0,0,2.99,9.55,82.17,1.177,1.9,109,0.075,0.24,14,0.33
Chocolate milk,amaro@company.com,"Chocolate milk, ready to drink, fat free",11511300,13.46,2,15.6,0,0,0,3.39,8.39,82.34,0,0,127,0.075,0.27,13,0.32
Chocolate milk,adunn@company.com,"Chocolate milk, ready to drink, low fat",11511400,10.15,5,17,0.1,0,0,3.46,9.94,84.5,0.616,1.11,129,0.028,0.23,13,0.23
Chocolate milk,rharris@company.com,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",11511550,7.68,5,15.2,0,0,0,3.43,7.29,87.09,0.616,1.04,122,0.018,0.16,13,0.2
Chocolate milk,gneal@company.com,"Chocolate milk, ready to drink, low fat (Nesquik)",11511600,10.15,5,17,0.1,0,0,3.46,9.94,84.5,0.616,1.11,129,0.028,0.23,13,0.23
Chocolate milk,karnold@company.com,"Chocolate milk, ready to drink, fat free (Nesquik)",11511610,13.46,2,15.6,0,0,0,3.39,8.39,82.34,0,0,127,0.075,0.27,13,0.32
Chocolate milk,tsalazaar@company.com,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",11511700,10.15,5,17,0.1,0,0,3.46,9.94,84.5,0.616,1.11,129,0.028,0.23,13,0.23
Hot chocolate / Cocoa,bjoseph@company.com,"Hot chocolate / Cocoa, ready to drink",11512010,16.54,7,14.2,0,1,0,2.72,15.18,78.43,0.903,1.54,102,0.058,0,17,0.42
Hot chocolate / Cocoa,ewelch@company.com,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",11512020,16.52,2,14.2,0,1,0,2.79,15.31,79.81,0.04,0.06,107,0.059,0,18,0.45
Hot chocolate / Cocoa,greeves@company.com,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",11512030,16.68,0,11,0.2,1,0,1.21,14.62,80.39,0.115,0.98,122,0.132,0.28,16,0.35
Hot chocolate / Cocoa,gfleming@company.com,"Hot chocolate / Cocoa, ready to drink, with whipped cream",11512100,15.89,12,14.4,0,1,0,2.73,14.6,77.44,1.952,3.18,101,0.056,0,17,0.41
Hot chocolate / Cocoa,eburke@company.com,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",11512110,15.87,8,14.4,0,1,0,2.79,14.72,78.76,1.13,1.77,105,0.057,0,17,0.43
Hot chocolate / Cocoa,kpatel@company.com,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",11512120,16.02,5,11.3,0.2,1,0,1.29,14.07,79.32,1.202,2.64,119,0.127,0.27,15,0.34
Chocolate milk,lsharma@company.com,"Chocolate milk, made from dry mix, NS as to type of milk",11513000,10.13,8,17,0.3,0,0,3.41,9.63,83.63,1.232,2.01,146,0.057,0,15,0.53
Chocolate milk,kmullur@company.com,"Chocolate milk, made from dry mix with whole milk",11513100,9.94,11,16.9,0.3,0,0,3.36,9.55,82.75,1.885,3.14,143,0.057,0,14,0.51
Chocolate milk,Karanmathur@company.com,"Chocolate milk, made from dry mix with reduced fat milk",11513150,10.16,8,17.3,0.3,0,0,3.42,9.62,83.68,1.182,1.92,146,0.057,0,15,0.52
Chocolate milk,amaro@company.com,"Chocolate milk, made from dry mix with low fat milk",11513200,10.43,5,16.5,0.3,0,0,3.45,9.69,84.25,0.673,1.03,146,0.057,0,15,0.57
Chocolate milk,adunn@company.com,"Chocolate milk, made from dry mix with fat free milk",11513300,10.14,3,17.3,0.3,0,0,3.5,9.77,85.28,0.186,0.22,152,0.058,0,15,0.54
Chocolate milk,rharris@company.com,"Chocolate milk, made from dry mix with non-dairy milk",11513310,10.32,0,12.7,0.5,0,0,1.68,8.99,85.96,0.272,1.27,169,0.142,0.32,13,0.4
Chocolate milk,gneal@company.com,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",11513350,7.61,8,28.7,0.4,0,0,3.59,5.86,85.52,1.114,2.1,159,0.079,0.14,29,0.54
Chocolate milk,karnold@company.com,"Chocolate milk, made from reduced sugar mix with whole milk",11513355,7.42,11,28.5,0.4,0,0,3.53,5.78,84.62,1.78,3.26,157,0.079,0.14,29,0.52
Chocolate milk,amaro@company.com,"Chocolate milk, made from reduced sugar mix with reduced fat milk",11513360,7.64,8,28.9,0.4,0,0,3.6,5.86,85.58,1.062,2.01,160,0.079,0.14,29,0.53
Chocolate milk,adunn@company.com,"Chocolate milk, made from reduced sugar mix with low fat milk",11513365,7.91,5,28.2,0.4,0,0,3.63,5.92,86.15,0.543,1.1,160,0.079,0.14,29,0.58
Chocolate milk,rharris@company.com,"Chocolate milk, made from reduced sugar mix with fat free milk",11513370,7.63,3,28.9,0.4,0,0,3.67,6.01,87.2,0.047,0.27,166,0.08,0.14,30,0.56
Chocolate milk,gneal@company.com,"Chocolate milk, made from reduced sugar mix with non-dairy milk",11513375,7.81,0,24.2,0.6,0,0,1.82,5.2,87.89,0.135,1.34,183,0.166,0.47,28,0.41
Chocolate milk,karnold@company.com,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",11513380,10.13,8,17,0.3,0,0,3.41,9.63,83.63,1.232,2.01,146,0.057,0,15,0.53
Chocolate milk,tsalazaar@company.com,"Chocolate milk, made from dry mix with whole milk (Nesquik)",11513381,9.94,11,16.9,0.3,0,0,3.36,9.55,82.75,1.885,3.14,143,0.057,0,14,0.51
Chocolate milk,bjoseph@company.com,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",11513382,10.16,8,17.3,0.3,0,0,3.42,9.62,83.68,1.182,1.92,146,0.057,0,15,0.52
Chocolate milk,ewelch@company.com,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",11513383,10.43,5,16.5,0.3,0,0,3.45,9.69,84.25,0.673,1.03,146,0.057,0,15,0.57
Chocolate milk,greeves@company.com,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",11513384,10.14,3,17.3,0.3,0,0,3.5,9.77,85.28,0.186,0.22,152,0.058,0,15,0.54
Chocolate milk,gfleming@company.com,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",11513385,10.32,0,12.7,0.5,0,0,1.68,8.99,85.96,0.272,1.27,169,0.142,0.32,13,0.4
Chocolate milk,eburke@company.com,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",11513390,7.61,8,28.7,0.4,0,0,3.59,5.86,85.52,1.114,2.1,159,0.079,0.14,29,0.54
Chocolate milk,kpatel@company.com,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",11513391,7.42,11,28.5,0.4,0,0,3.53,5.78,84.62,1.78,3.26,157,0.079,0.14,29,0.52
Chocolate milk,lsharma@company.com,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",11513392,7.64,8,28.9,0.4,0,0,3.6,5.86,85.58,1.062,2.01,160,0.079,0.14,29,0.53
Chocolate milk,kmullur@company.com,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",11513393,7.91,5,28.2,0.4,0,0,3.63,5.92,86.15,0.543,1.1,160,0.079,0.14,29,0.58
Chocolate milk,Karanmathur@company.com,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",11513394,7.63,3,28.9,0.4,0,0,3.67,6.01,87.2,0.047,0.27,166,0.08,0.14,30,0.56
Chocolate milk,amaro@company.com,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",11513395,7.81,0,24.2,0.6,0,0,1.82,5.2,87.89,0.135,1.34,183,0.166,0.47,28,0.41
Chocolate milk,adunn@company.com,"Chocolate milk, made from syrup, NS as to type of milk",11513400,13.18,7,15.7,0,0,0,2.89,12.23,81.43,1.009,1.73,109,0.042,0,16,0.48
Chocolate milk,rharris@company.com,"Chocolate milk, made from syrup with whole milk",11513500,13,10,15.5,0,0,0,2.84,12.16,80.62,1.612,2.77,107,0.042,0,16,0.47
Chocolate milk,gneal@company.com,"Chocolate milk, made from syrup with reduced fat milk",11513550,13.21,7,15.9,0,0,0,2.9,12.23,81.48,0.962,1.65,109,0.042,0,16,0.48
Chocolate milk,karnold@company.com,"Chocolate milk, made from syrup with low fat milk",11513600,13.45,4,15.2,0,0,0,2.93,12.29,82,0.492,0.82,109,0.042,0,16,0.53
Chocolate milk,amaro@company.com,"Chocolate milk, made from syrup with fat free milk",11513700,13.19,3,15.9,0,0,0,2.97,12.37,82.96,0.042,0.07,114,0.043,0,16,0.5
Chocolate milk,adunn@company.com,"Chocolate milk, made from syrup with non-dairy milk",11513750,13.36,0,11.6,0.2,0,0,1.29,11.64,83.58,0.122,1.04,130,0.121,0.3,14,0.37
Chocolate milk,rharris@company.com,"Chocolate milk, made from light syrup, NS as to type of milk",11513800,8.6,7,15.8,0,0,0,3.1,7.86,85.67,1.018,1.86,111,0.035,0,15,0.49
Chocolate milk,gneal@company.com,"Chocolate milk, made from light syrup with whole milk",11513801,8.42,10,15.7,0,0,0,3.04,7.79,84.85,1.627,2.92,109,0.035,0,15,0.47
Chocolate milk,karnold@company.com,"Chocolate milk, made from light syrup with reduced fat milk",11513802,8.63,7,16,0,0,0,3.1,7.86,85.72,0.971,1.78,112,0.035,0,15,0.48
Chocolate milk,tsalazaar@company.com,"Chocolate milk, made from light syrup with low fat milk",11513803,8.87,4,15.3,0,0,0,3.13,7.92,86.24,0.497,0.95,112,0.035,0,15,0.53
Chocolate milk,bjoseph@company.com,"Chocolate milk, made from light syrup with fat free milk",11513804,8.61,3,16,0,0,0,3.18,8,87.21,0.043,0.19,117,0.036,0,15,0.51
